name,distance,address,telephone,rating,review_counts,closed
Indian Desire,970.4834074907873,"('469 Bloor Street W', 'Toronto, ON M5S 1X9', 'Canada')",+1 416-519-0604,4.5,18,False
The Cottage Cheese,155.60529197931416,"('64 Oxford Street', 'Toronto, ON M5T 1P1', 'Canada')",+1 647-368-8633,4.5,26,False
Naanspot- Modern Indian Cuisine,79.00943408372353,"('310 College Street', 'Toronto, ON M5T 1S2', 'Canada')",+1 647-343-6226,4.0,5,False
Matha Roti - East Indian Cuisine,558.7958771785139,"('141 Harbord Street', 'Toronto, ON M5S 2M2', 'Canada')",+1 416-966-6955,4.0,34,False
Thindi,229.7049428106746,"('400 College Street', 'Toronto, ON M5T 1S7', 'Canada')",,4.0,6,False
The Chulo,1008.147111948943,"('394 Bloor Street', 'Unit 102', 'Toronto, ON M5S 1X4', 'Canada')",+1 416-925-9777,4.0,2,False
Hawker,152.95994726640026,"('291 Augusta Ave', 'Toronto, ON M5T 1N9', 'Canada')",+1 416-628-1905,5.0,40,False
Sizzler Kabab,355.4276906882509,"('381 Spadina Avenue', 'Toronto, ON M5T 2G6', 'Canada')",+1 416-551-7786,3.0,52,False
The Pomegranate Restaurant,313.3750580881724,"('420 College Street', 'Toronto, ON M5T 1T3', 'Canada')",+1 416-921-7557,4.0,197,False
Indraprastha,880.0647000430223,"('5 Baldwin Street', 'Toronto, ON M5T 1L1', 'Canada')",+1 437-880-8349,5.0,2,False
Spicy Grill Indo Pak Cuisine,152.95994726640026,"('291 Augusta Ave', 'Toronto, ON M5T 3A9', 'Canada')",+1 416-968-7111,2.5,7,False
My Dosa Place,1095.7880370132464,"('406 Queen Street W', 'Toronto, ON M5V 2A6', 'Canada')",+1 416-366-5554,4.0,1,False
King's Café,387.1230901272645,"('192 Augusta Avenue', 'Toronto, ON M5T 2L6', 'Canada')",+1 416-591-1340,4.0,143,False
Saigon Lotus,475.4821326256724,"('6 St Andrew Street', 'Toronto, ON M5T 1K6', 'Canada')",+1 416-901-1115,4.5,220,False
My Roti Place,1097.860468565126,"('406 Queen Street W', 'Toronto, ON M5V 2A6', 'Canada')",+1 416-366-5554,3.5,74,False
Veda Healthy IndianTakeout,724.3838916104586,"('Sandford Fleming Building', ""10 King's College Rd"", 'Toronto, ON M5S', 'Canada')",+1 416-961-9797,3.0,22,False
By Aanch,998.4265703985811,"('633 College Street', 'Toronto, ON M6G 1B5', 'Canada')",+1 647-483-0513,3.5,2,False
Naans & More,1024.398080612368,"('795 Bathurst St', 'Toronto, ON M5S 1Z5', 'Canada')",,5.0,1,False
Ghazale Restaurant,1037.0765195688473,"('504 Bloor Street W', 'Toronto, ON M5S 1Y3', 'Canada')",+1 416-537-4417,3.5,98,False
Khazana - By Chef Sanjeev Kapoor,615.3349297708056,"('261 Yonge Street', 'Toronto, ON M5B 1N8', 'Canada')",+1 905-789-8738,3.5,21,False
Indian Studio Kitchen,269.79675283676994,"('429 Yonge Street', 'Toronto, ON M5B 1T1', 'Canada')",+1 416-977-8137,4.0,1,False
The Host Fine Indian Cuisine,724.2563484583302,"('87 Elm Street', 'Toronto, ON M5G 0A8', 'Canada')",+1 416-962-4678,3.5,133,False
T|Bar,416.1355260466227,"('Chelsea Hotel', '33 Gerrard Street W', 'Toronto, ON M5G 1Z4', 'Canada')",+1 416-585-4961,3.5,13,False
Indian Roti House,427.2902442236516,"('471 Church Street', 'Toronto, ON M4Y 2C5', 'Canada')",+1 647-987-7684,3.5,44,False
Spice66,415.380205063451,"('335 Yonge And Dundas', 'Toronto, ON M5B 2L3', 'Canada')",+1 416-816-2766,4.0,3,False
Colaba Junction,537.0845534456613,"('801 Bay Street', 'Unit 3 & 4', 'Toronto, ON M5S 1Y9', 'Canada')",+1 416-646-8800,3.0,82,False
Punjabi Chaap Corner,512.9642867640684,"('38 Elm Street', 'Unit 06A', 'Toronto, ON M5G 2K5', 'Canada')",+1 416-598-3787,4.0,5,False
Matagali Restaurant,617.1469738435683,"('69 Elm Street', 'Toronto, ON M5G 1H2', 'Canada')",+1 416-599-9994,3.5,56,False
Naan & Kabob,1085.8999130670643,"('691 Yonge Street', 'Toronto, ON M4Y 2B2', 'Canada')",+1 416-972-6623,4.0,152,False
Globol Restaurants,192.09040451507533,"('60 Carlton Street', 'Loblaws Maple Leaf Gardens', 'Toronto, ON M5B 1J2', 'Canada')",,5.0,1,False
King Place,690.6319572480583,"('236 Sherbourne Street', 'Unit 1', 'Toronto, ON M5A 2R7', 'Canada')",+1 647-352-0786,3.5,44,False
Suruthi's Take Out & Catering,1102.728644656898,"('585 Parliament Street', 'Toronto, ON M4X 1P9', 'Canada')",+1 416-925-1939,4.0,12,False
Maezo Indian Cuisine,1073.633399814856,"('102-250 Dundas Street W', 'Toronto, ON M5T 2Z6', 'Canada')",+1 416-941-0000,4.5,12,False
Kothur Indian Cuisine,966.8034083434158,"('649 Yonge Street', 'Toronto, ON M4Y 2A6', 'Canada')",+1 416-926-0953,3.5,104,False
Indian Biriyani House,874.5106707526435,"('181 Dundas St W', 'Toronto, ON M5G 1C7', 'Canada')",+1 416-340-1254,2.5,71,False
Suksi Biryani House,1112.957596447445,"('15 Hayden Street', 'Toronto, ON M4Y 2P2', 'Canada')",+1 416-515-1957,3.5,73,False
Oh Bombay,434.40958692344043,"('21 Grenville Street', 'Toronto, ON M4Y 1A1', 'Canada')",+1 647-812-6208,3.5,3,False
Laziz Curry Kitchen,510.9970483937269,"('151 Dundas St E', 'Toronto, ON M5B 1E4', 'Canada')",+1 416-762-9440,3.5,2,False
Multani Rollz & Bowlz,327.48118172053125,"('384 Yonge Street', 'Unit 54', 'Toronto, ON M5G 2K2', 'Canada')",,3.0,1,False
Aanch,992.6258362912515,"('259 Wellington St W', 'Toronto, ON M5V', 'Canada')",+1 416-599-0513,4.0,194,False
Indian Roti House,883.9029553085297,"('256 Queens Quay W', 'Toronto, ON M5J 1B5', 'Canada')",+1 416-260-6666,4.0,232,False
Annalakshmi,970.4991521525492,"('277 Wellington Street W', 'Unit 100B', 'Toronto, ON M5V 3E4', 'Canada')",+1 416-792-3672,3.0,25,False
Angithi Biryani and Wraps,511.3247639017639,"('363 Bremner Boulevard', 'Toronto, ON M5V 3V4', 'Canada')",+1 416-551-1777,2.0,9,False
Amaya,1217.615148321269,"('200 Simcoe Place', 'Toronto, ON M5V 3K2', 'Canada')",,1.5,10,False
Sizzler Kabab,1089.3751079076296,"('754 King Street W', 'Toronto, ON M5V 1N3', 'Canada')",,3.5,11,False
Chin Chin Street Side Kitchen,507.41477708569704,"('363 Bremner Boulevard', 'Toronto, ON M5V 3V4', 'Canada')",+1 416-901-1990,3.5,49,False
Coco Rice Thai Cuisine,989.987326404376,"('669 King Street W', 'Toronto, ON M5V 1M9', 'Canada')",+1 416-504-9434,3.5,114,False
Khazana - By Chef Sanjeev Kapoor,551.1900735636706,"('261 Yonge Street', 'Toronto, ON M5B 1N8', 'Canada')",+1 905-789-8738,3.5,21,False
The Host Fine Indian Cuisine,437.5916974216666,"('87 Elm Street', 'Toronto, ON M5G 0A8', 'Canada')",+1 416-962-4678,3.5,133,False
Indian Studio Kitchen,80.0078581904916,"('429 Yonge Street', 'Toronto, ON M5B 1T1', 'Canada')",+1 416-977-8137,4.0,1,False
Colaba Junction,280.0247825816695,"('801 Bay Street', 'Unit 3 & 4', 'Toronto, ON M5S 1Y9', 'Canada')",+1 416-646-8800,3.0,82,False
T|Bar,153.44647470531143,"('Chelsea Hotel', '33 Gerrard Street W', 'Toronto, ON M5G 1Z4', 'Canada')",+1 416-585-4961,3.5,13,False
Matagali Restaurant,345.88080208560757,"('69 Elm Street', 'Toronto, ON M5G 1H2', 'Canada')",+1 416-599-9994,3.5,56,False
Spice66,320.05074219163913,"('335 Yonge And Dundas', 'Toronto, ON M5B 2L3', 'Canada')",+1 416-816-2766,4.0,3,False
Punjabi Chaap Corner,258.129649702557,"('38 Elm Street', 'Unit 06A', 'Toronto, ON M5G 2K5', 'Canada')",+1 416-598-3787,4.0,5,False
Maezo Indian Cuisine,780.4307556841976,"('102-250 Dundas Street W', 'Toronto, ON M5T 2Z6', 'Canada')",+1 416-941-0000,4.5,12,False
Indian Roti House,555.9740199208219,"('471 Church Street', 'Toronto, ON M4Y 2C5', 'Canada')",+1 647-987-7684,3.5,44,False
Indian Biriyani House,612.9224984761789,"('181 Dundas St W', 'Toronto, ON M5G 1C7', 'Canada')",+1 416-340-1254,2.5,71,False
Multani Rollz & Bowlz,31.358058226349172,"('384 Yonge Street', 'Unit 54', 'Toronto, ON M5G 2K2', 'Canada')",,3.0,1,False
Globol Restaurants,336.5489164208388,"('60 Carlton Street', 'Loblaws Maple Leaf Gardens', 'Toronto, ON M5B 1J2', 'Canada')",,5.0,1,False
Indraprastha,883.3049592944949,"('5 Baldwin Street', 'Toronto, ON M5T 1L1', 'Canada')",+1 437-880-8349,5.0,2,False
Kothur Indian Cuisine,938.7334335257787,"('649 Yonge Street', 'Toronto, ON M4Y 2A6', 'Canada')",+1 416-926-0953,3.5,104,False
Cucini Xpress,124.2848329896787,"('372 Yonge Street', 'Toronto, ON M5G 2K9', 'Canada')",+1 416-827-1815,5.0,4,False
Oh Bombay,252.86678273869862,"('21 Grenville Street', 'Toronto, ON M4Y 1A1', 'Canada')",+1 647-812-6208,3.5,3,False
PLANTA Toronto,1076.2244138899168,"('180 Queen Street W', 'Toronto, ON M5V 3X3', 'Canada')",+1 647-812-1210,4.0,172,False
Bombay Palace,1293.2880103370892,"('71 Jarvis Street', 'Toronto, ON M5C 2H2', 'Canada')",+1 416-368-8048,3.5,59,False
King Place,943.961976392583,"('236 Sherbourne Street', 'Unit 1', 'Toronto, ON M5A 2R7', 'Canada')",+1 647-352-0786,3.5,44,False
Aanch,865.6864765507743,"('259 Wellington St W', 'Toronto, ON M5V', 'Canada')",+1 416-599-0513,4.0,194,False
Indian Roti House,642.7705354522492,"('256 Queens Quay W', 'Toronto, ON M5J 1B5', 'Canada')",+1 416-260-6666,4.0,232,False
Bindia Indian Bistro,878.2862621083274,"('16 Market St.', 'Toronto, ON M5E 1M6', 'Canada')",+1 416-863-0000,4.0,208,False
Little India Restaurant,996.7158080205171,"('255 Queen Street W', 'Toronto, ON M5V 1Z4', 'Canada')",+1 416-205-9836,3.5,438,False
Aroma Fine Indian Cuisine,818.6569834566965,"('287 King St W', 'Toronto, ON M5V 1J5', 'Canada')",+1 416-971-7242,3.5,225,False
Benares Cucina Indian,693.1764744500613,"('001 – 49 Front Street E', 'Toronto, ON M5E 1B3', 'Canada')",+1 416-955-9000,4.0,13,False
Chaska,802.5843368080554,"('218 Adelaide St W', 'Toronto, ON M5H 1W7', 'Canada')",,4.0,13,False
Stratus Restaurant,354.9783640230892,"('79 Wellington Street W', 'TD South Tower, 36th Fl.', 'Toronto, ON M5K 1J5', 'Canada')",+1 416-865-1924,5.0,1,False
Byblos,755.5134207231408,"('11 Duncan Street', 'Toronto, ON M5V 3M2', 'Canada')",+1 647-660-0909,4.5,914,False
My Dosa Place,423.34655168611476,"('12 Queens Quay W', 'Toronto, ON M5J 2V7', 'Canada')",+1 647-350-3672,3.0,20,False
My Roti Place,432.08648974070894,"('12 Queens Quay W', 'Toronto, ON M5J 2V7', 'Canada')",+1 647-348-7684,3.5,26,False
Swades Indian Cuisine,391.517180766222,"('208 Queens Quay West', 'Harbourfront centre', 'Toronto, ON M5J 2Y5', 'Canada')",+1 416-368-7272,2.5,37,False
Butter Chicken Roti,168.84308805443263,"('55 Front Street W', 'Union Station', 'Toronto, ON M5J 1E6', 'Canada')",+1 647-943-0289,4.0,3,False
The Bombay,999.7707310614373,"('259 Queen Street W', 'Toronto, ON M5V 1Z4', 'Canada')",+1 416-519-2550,3.5,10,False
Bombay Palace,1070.7944402863104,"('71 Jarvis Street', 'Toronto, ON M5C 2H2', 'Canada')",+1 416-368-8048,3.5,59,False
PLANTA Toronto,985.3132872290005,"('180 Queen Street W', 'Toronto, ON M5V 3X3', 'Canada')",+1 647-812-1210,4.0,172,False
Amaya,559.9749092860621,"('100 King Street W', 'Toronto, ON M5X 2A2', 'Canada')",+1 416-214-0005,3.0,19,False
Charcoal Biryani,501.86367267362084,"('199 Bay Street', 'Commerce Court', 'Toronto, ON M5L 0A2', 'Canada')",+1 647-294-1006,3.0,1,False
Annalakshmi,881.7819120693985,"('277 Wellington Street W', 'Unit 100B', 'Toronto, ON M5V 3E4', 'Canada')",+1 416-792-3672,3.0,25,False
Amaya,482.69506569596706,"('200 Simcoe Place', 'Toronto, ON M5V 3K2', 'Canada')",,1.5,10,False
Suruthi's Take Out & Catering,372.3975944189786,"('585 Parliament Street', 'Toronto, ON M4X 1P9', 'Canada')",+1 416-925-1939,4.0,12,False
Butter Chicken Factory,341.9433636440702,"('560 Parliament Street', 'Toronto, ON M4X 1P8', 'Canada')",+1 416-964-7583,3.5,164,False
Momo Ghar,338.33392987727757,"('568 Parliament St', 'Toronto, ON M4X 1P6', 'Canada')",+1 416-920-8224,5.0,12,False
Indian Roti House,592.3015358157181,"('471 Church Street', 'Toronto, ON M4Y 2C5', 'Canada')",+1 647-987-7684,3.5,44,False
Maja Indian Cuisine,757.6240911448444,"('345 Bloor Street E', 'Toronto, ON M4W 3J6', 'Canada')",+1 647-350-7876,4.0,34,False
Kothur Indian Cuisine,1010.5775317922003,"('649 Yonge Street', 'Toronto, ON M4Y 2A6', 'Canada')",+1 416-926-0953,3.5,104,False
Spice66,1174.843507238029,"('335 Yonge And Dundas', 'Toronto, ON M5B 2L3', 'Canada')",+1 416-816-2766,4.0,3,False
Colaba Junction,1145.6209156212847,"('801 Bay Street', 'Unit 3 & 4', 'Toronto, ON M5S 1Y9', 'Canada')",+1 416-646-8800,3.0,82,False
King Place,923.1436275807388,"('236 Sherbourne Street', 'Unit 1', 'Toronto, ON M5A 2R7', 'Canada')",+1 647-352-0786,3.5,44,False
Indian Studio Kitchen,972.538676731936,"('429 Yonge Street', 'Toronto, ON M5B 1T1', 'Canada')",+1 416-977-8137,4.0,1,False
T|Bar,1174.7252642835167,"('Chelsea Hotel', '33 Gerrard Street W', 'Toronto, ON M5G 1Z4', 'Canada')",+1 416-585-4961,3.5,13,False
Globol Restaurants,715.2067312756423,"('60 Carlton Street', 'Loblaws Maple Leaf Gardens', 'Toronto, ON M5B 1J2', 'Canada')",,5.0,1,False
Punjabi Chaap Corner,1276.8433870075478,"('38 Elm Street', 'Unit 06A', 'Toronto, ON M5G 2K5', 'Canada')",+1 416-598-3787,4.0,5,False
BBQ Chicken Factory,390.72361926673346,"('292 Wellesley Street E', 'Toronto, ON M4X 1H1', 'Canada')",+1 647-352-7111,4.0,2,False
Kabab & Tikah House,316.1003127232064,"('178 Carlton Street', 'Toronto, ON M5A 2K3', 'Canada')",+1 416-964-8414,2.0,10,False
Oh Bombay,1007.2003655399182,"('21 Grenville Street', 'Toronto, ON M4Y 1A1', 'Canada')",+1 647-812-6208,3.5,3,False
Multani Rollz & Bowlz,1066.9428599418886,"('384 Yonge Street', 'Unit 54', 'Toronto, ON M5G 2K2', 'Canada')",,3.0,1,False
Butter Chicken Roti,979.5114753168502,"('646 Yonge Street', 'Toronto, ON M4Y 2A6', 'Canada')",+1 416-783-7634,3.5,20,False
Lett'us Roll,1151.0870865371355,"('335 Yonge Street', 'World Food Market', 'Toronto, ON M5G 1S4', 'Canada')",,5.0,1,False
Cucini Xpress,1102.7132816937822,"('372 Yonge Street', 'Toronto, ON M5G 2K9', 'Canada')",+1 416-827-1815,5.0,4,False
Aanch,545.658760159944,"('259 Wellington St W', 'Toronto, ON M5V', 'Canada')",+1 416-599-0513,4.0,194,False
Indian Roti House,630.141682747205,"('256 Queens Quay W', 'Toronto, ON M5J 1B5', 'Canada')",+1 416-260-6666,4.0,232,False
Aroma Fine Indian Cuisine,748.8461809805706,"('287 King St W', 'Toronto, ON M5V 1J5', 'Canada')",+1 416-971-7242,3.5,225,False
Saffron Spice Kitchen,976.6709538211488,"('459 Queen Street W', 'Toronto, ON M5V 2A9', 'Canada')",+1 416-203-0222,4.0,137,False
Chaska,1037.1927909745298,"('218 Adelaide St W', 'Toronto, ON M5H 1W7', 'Canada')",,4.0,13,False
Byblos,923.6150539305452,"('11 Duncan Street', 'Toronto, ON M5V 3M2', 'Canada')",+1 647-660-0909,4.5,914,False
Roti Mahal Indian Cuisine,1141.6181282267912,"('554 Queen Street W', 'Toronto, ON M5V 2B5', 'Canada')",+1 416-546-9404,4.5,19,False
Annalakshmi,524.4203086036595,"('277 Wellington Street W', 'Unit 100B', 'Toronto, ON M5V 3E4', 'Canada')",+1 416-792-3672,3.0,25,False
Fresh on Spadina,908.4821616254923,"('147 Spadina Avenue', 'Toronto, ON M5V 2L7', 'Canada')",+1 416-599-4442,4.0,436,False
Angithi Biryani and Wraps,65.83664440821971,"('363 Bremner Boulevard', 'Toronto, ON M5V 3V4', 'Canada')",+1 416-551-1777,2.0,9,False
My Dosa Place,1010.2846289770101,"('406 Queen Street W', 'Toronto, ON M5V 2A6', 'Canada')",+1 416-366-5554,4.0,1,False
Stratus Restaurant,1228.5069440022155,"('79 Wellington Street W', 'TD South Tower, 36th Fl.', 'Toronto, ON M5K 1J5', 'Canada')",+1 416-865-1924,5.0,1,False
Chin Chin Street Side Kitchen,63.92731059080506,"('363 Bremner Boulevard', 'Toronto, ON M5V 3V4', 'Canada')",+1 416-901-1990,3.5,49,False
My Roti Place,1008.1171526076696,"('406 Queen Street W', 'Toronto, ON M5V 2A6', 'Canada')",+1 416-366-5554,3.5,74,False
Cheffry's Artisanal Bistro,910.0884908624585,"('388 Richmond Street W', 'Unit 5B', 'Toronto, ON M5V 3P1', 'Canada')",+1 437-996-7357,4.5,15,False
The Kettle,1198.899622393779,"('685 Queen Street W', 'Toronto, ON M6J 1E6', 'Canada')",+1 416-551-6788,4.5,17,False
Sizzler Kabab,1037.9454929359752,"('754 King Street W', 'Toronto, ON M5V 1N3', 'Canada')",,3.5,11,False
Butter Chicken Roti,1113.3740664220625,"('55 Front Street W', 'Union Station', 'Toronto, ON M5J 1E6', 'Canada')",+1 647-943-0289,4.0,3,False
The Momo House,1198.0217427348368,"('685 Queen St W', 'Toronto, ON M6J 1E6', 'Canada')",,4.0,4,False
TO’s Kathi Roll Eatery,976.6017715678297,"('465 Queen Street W', 'Toronto, ON M5V 2A9', 'Canada')",,4.5,2,False
Rikki Tikki,38.25033186133411,"('209 Augusta Avenue', 'Toronto, ON M5T 2L4', 'Canada')",+1 416-792-3229,5.0,29,False
Aanch,1315.890112393071,"('259 Wellington St W', 'Toronto, ON M5V', 'Canada')",+1 416-599-0513,4.0,194,False
Saffron Spice Kitchen,694.7971305924739,"('459 Queen Street W', 'Toronto, ON M5V 2A9', 'Canada')",+1 416-203-0222,4.0,137,False
The Cottage Cheese,289.37662139209016,"('64 Oxford Street', 'Toronto, ON M5T 1P1', 'Canada')",+1 647-368-8633,4.5,26,False
Roti Mahal Indian Cuisine,704.983842176525,"('554 Queen Street W', 'Toronto, ON M5V 2B5', 'Canada')",+1 416-546-9404,4.5,19,False
Naanspot- Modern Indian Cuisine,446.16699147800193,"('310 College Street', 'Toronto, ON M5T 1S2', 'Canada')",+1 647-343-6226,4.0,5,False
Aroma Fine Indian Cuisine,1255.2271733825462,"('287 King St W', 'Toronto, ON M5V 1J5', 'Canada')",+1 416-971-7242,3.5,225,False
Thindi,484.7873685811664,"('400 College Street', 'Toronto, ON M5T 1S7', 'Canada')",,4.0,6,False
Sizzler Kabab,337.85723931923235,"('381 Spadina Avenue', 'Toronto, ON M5T 2G6', 'Canada')",+1 416-551-7786,3.0,52,False
Hawker,291.72372380618106,"('291 Augusta Ave', 'Toronto, ON M5T 1N9', 'Canada')",+1 416-628-1905,5.0,40,False
Matha Roti - East Indian Cuisine,998.4821847463008,"('141 Harbord Street', 'Toronto, ON M5S 2M2', 'Canada')",+1 416-966-6955,4.0,34,False
Indraprastha,783.277056394559,"('5 Baldwin Street', 'Toronto, ON M5T 1L1', 'Canada')",+1 437-880-8349,5.0,2,False
Maezo Indian Cuisine,972.9814463837242,"('102-250 Dundas Street W', 'Toronto, ON M5T 2Z6', 'Canada')",+1 416-941-0000,4.5,12,False
My Dosa Place,662.1824545055176,"('406 Queen Street W', 'Toronto, ON M5V 2A6', 'Canada')",+1 416-366-5554,4.0,1,False
The Pomegranate Restaurant,540.3432600641601,"('420 College Street', 'Toronto, ON M5T 1T3', 'Canada')",+1 416-921-7557,4.0,197,False
Fresh on Spadina,793.6341027711557,"('147 Spadina Avenue', 'Toronto, ON M5V 2L7', 'Canada')",+1 416-599-4442,4.0,436,False
My Roti Place,664.1366079905621,"('406 Queen Street W', 'Toronto, ON M5V 2A6', 'Canada')",+1 416-366-5554,3.5,74,False
Saigon Lotus,206.08267258554488,"('6 St Andrew Street', 'Toronto, ON M5T 1K6', 'Canada')",+1 416-901-1115,4.5,220,False
King's Café,60.74790558197263,"('192 Augusta Avenue', 'Toronto, ON M5T 2L6', 'Canada')",+1 416-591-1340,4.0,143,False
Spicy Grill Indo Pak Cuisine,291.72372380618106,"('291 Augusta Ave', 'Toronto, ON M5T 3A9', 'Canada')",+1 416-968-7111,2.5,7,False
Dil Se Indian Restaurant & Bar,862.4764949648356,"('335 Roncesvalles Avenue', 'Toronto, ON M6R 2M8', 'Canada')",+1 416-532-4141,4.5,23,False
South Indian Dosa Mahal,498.3992981100424,"('1285 Bloor Street W', 'Toronto, ON M6H 1N7', 'Canada')",+1 416-588-4147,4.5,2,False
Mumbaikar Indian Restaurant and Bar,1003.8073718732902,"('1063 Bloor Street W', 'Toronto, ON M6H 1M5', 'Canada')",+1 416-533-1576,3.5,7,False
Tadka Express,543.5581572366303,"('675 Lansdowne Avenue', 'Toronto, ON M6H 3Y9', 'Canada')",+1 416-551-7891,3.0,2,False
Cafe Tibet Bar & Grill,851.4600976871352,"('390 Roncesvalles Avenue', 'Toronto, ON M6R 2M9', 'Canada')",+1 416-792-9258,4.5,23,False
Mirch Indian Cuisine,460.59306026795986,"('900 Dufferin St', 'Toronto, ON M6H 4E7', 'Canada')",+1 416-885-4934,4.0,10,False
Butter Chicken Roti - Bloor W,1113.6540493693783,"('1030 Bloor Street W', 'Toronto, ON M6H 1M2', 'Canada')",+1 647-347-3227,4.0,10,False
Dil Se Indian Restaurant & Bar,585.764260701276,"('335 Roncesvalles Avenue', 'Toronto, ON M6R 2M8', 'Canada')",+1 416-532-4141,4.5,23,False
Bawara,1051.050501187022,"('1570 Bloor St W', 'Toronto, ON M5G 1S4', 'Canada')",+1 416-532-2323,4.5,13,False
South Indian Dosa Mahal,831.3789227942652,"('1285 Bloor Street W', 'Toronto, ON M6H 1N7', 'Canada')",+1 416-588-4147,4.5,2,False
Cafe Tibet Bar & Grill,645.899417826417,"('390 Roncesvalles Avenue', 'Toronto, ON M6R 2M9', 'Canada')",+1 416-792-9258,4.5,23,False
Tadka Express,874.694033208379,"('675 Lansdowne Avenue', 'Toronto, ON M6H 3Y9', 'Canada')",+1 416-551-7891,3.0,2,False
Mirch Indian Cuisine,714.2432294321403,"('900 Dufferin St', 'Toronto, ON M6H 4E7', 'Canada')",+1 416-885-4934,4.0,10,False
Dil Se Indian Restaurant & Bar,937.4107111908829,"('335 Roncesvalles Avenue', 'Toronto, ON M6R 2M8', 'Canada')",+1 416-532-4141,4.5,23,False
South Indian Dosa Mahal,843.0108833138542,"('1285 Bloor Street W', 'Toronto, ON M6H 1N7', 'Canada')",+1 416-588-4147,4.5,2,False
Mirch Indian Cuisine,429.17183516169393,"('900 Dufferin St', 'Toronto, ON M6H 4E7', 'Canada')",+1 416-885-4934,4.0,10,False
Cafe Tibet Bar & Grill,999.0280631527003,"('390 Roncesvalles Avenue', 'Toronto, ON M6R 2M9', 'Canada')",+1 416-792-9258,4.5,23,False
Tadka Express,887.9279729982063,"('675 Lansdowne Avenue', 'Toronto, ON M6H 3Y9', 'Canada')",+1 416-551-7891,3.0,2,False
Madras Kaapi,150.0040414888556,"('870 College Street', 'Toronto, ON M6H 1A3', 'Canada')",+1 416-516-9909,4.5,11,False
Mannat Indian & Hakka Bar,46.28838888427089,"('839 College St', 'Toronto, ON M6H 1A1', 'Canada')",+1 647-398-2155,4.5,9,False
Banjara Indian Cuisine,965.7432522118025,"('796 Bloor Street W', 'Toronto, ON M6G 1L7', 'Canada')",+1 416-963-9360,3.5,453,False
Madras Masala,954.3725987276905,"('796 Bloor Street W', 'Suite 1', 'Toronto, ON M6G 1L7', 'Canada')",+1 647-342-4359,4.0,160,False
Mumbaikar Indian Restaurant and Bar,1027.0398455269199,"('1063 Bloor Street W', 'Toronto, ON M6H 1M5', 'Canada')",+1 416-533-1576,3.5,7,False
Samrat Indian Cuisine,533.7623601712992,"('648 College St', 'Toronto, ON M6G 1B8', 'Canada')",+1 905-724-1006,3.5,10,False
My Roti Place,926.4089477155715,"('810 Bloor Street W', 'Toronto, ON M6G 1L9', 'Canada')",+1 416-588-0202,4.0,2,False
Butter Chicken Roti - Bloor W,1006.0572045897559,"('1030 Bloor Street W', 'Toronto, ON M6H 1M2', 'Canada')",+1 647-347-3227,4.0,10,False
By Aanch,615.4592429102706,"('633 College Street', 'Toronto, ON M6G 1B5', 'Canada')",+1 647-483-0513,3.5,2,False
Bawara,965.0967770617478,"('1570 Bloor St W', 'Toronto, ON M5G 1S4', 'Canada')",+1 416-532-2323,4.5,13,False
Bukhara Grill,1005.3737219878177,"('2241A Bloor Street W', 'Toronto, ON M6S 1N7', 'Canada')",+1 416-551-5199,4.0,74,False
Bawara,536.9641506805622,"('1570 Bloor St W', 'Toronto, ON M5G 1S4', 'Canada')",+1 416-532-2323,4.5,13,False
Dil Se Indian Restaurant & Bar,994.6099799392745,"('335 Roncesvalles Avenue', 'Toronto, ON M6R 2M8', 'Canada')",+1 416-532-4141,4.5,23,False
Cafe Tibet Bar & Grill,829.7589362220704,"('390 Roncesvalles Avenue', 'Toronto, ON M6R 2M9', 'Canada')",+1 416-792-9258,4.5,23,False
Himalayan Kitchen,1200.8562914288877,"('1526 Queen Street W', 'Toronto, ON M6R 1A1', 'Canada')",+1 416-536-4138,4.5,152,False
6ixTriangles,1135.0597724848574,"('127 Jefferson Avenue', 'Toronto, ON M6K 3E4', 'Canada')",+1 416-539-0555,3.5,7,False
Momo Cafe & Zomsa Bar,1178.486010389398,"('1498 Queen Street W', 'Toronto, ON M6R 1A4', 'Canada')",+1 416-551-0997,5.0,2,False
OM Restaurant and Bar,1137.661245920122,"('1439 Queen Street W', 'Toronto, ON M6R 1A1', 'Canada')",+1 416-532-3901,4.0,52,False
Little Tibet  Restaurant,1148.8972992154343,"('1449A Queen Street W', 'Toronto, ON M6R 1A1', 'Canada')",+1 416-532-9728,4.5,26,False
Norling,1190.2090416401443,"('1512 Queen Street W', 'Toronto, ON M6R 1A4', 'Canada')",+1 416-532-2877,4.0,72,False
Loga's Corner,1099.2719207694643,"('216C Close Avenue', 'Toronto, ON M6K 2V5', 'Canada')",+1 647-761-0965,4.5,174,False
Dave's Hot Chicken,1264.087322893794,"('1582 Queen Street W', 'Toronto, ON M6R 1A6', 'Canada')",+1 416-546-3776,3.5,63,False
Shangrila Tibetan & Asian Cuisine,1290.0781245259004,"('1600 Queen Street W', 'Toronto, ON M6R 1A8', 'Canada')",+1 416-588-1100,4.0,96,False
South Indian Dosa Mahal,292.2677020185302,"('9 Roncesvalles Avenue', 'Toronto, ON M6R 2K2', 'Canada')",+1 647-341-8553,4.0,13,False
Himalayan Kitchen,626.9634648741758,"('1526 Queen Street W', 'Toronto, ON M6R 1A1', 'Canada')",+1 416-536-4138,4.5,152,False
